Company,Date,Title
AIA,13/02/2023,"""Auckland International Airport (NZSE:AIA) May Have Issues Allocating Its Capital"""
AIA,30/01/2023,"""UPDATE 3-New Zealand counts cost of Auckland floods, more rain forecast"""
AIA,27/01/2023,"""Auckland International Airport (NZSE:AIA) shareholders have earned a 6.5% CAGR over the last five years"""
AIA,03/01/2023,"""Painful week for individual investors invested in Auckland International Airport Limited (NZSE:AIA) after 3.9% drop, institutions also suffered losses"""
AIA,07/12/2022,"""10 Best ASX Stocks to Buy Heading into 2023"""
AIA,04/11/2022,"""Should You Think About Buying Auckland International Airport Limited (NZSE:AIA) Now?"""
AIA,19/10/2022,"""Auckland Airport lifts profit forecast for fiscal 2023 on demand recovery"""
AIA,02/10/2022,"""Are Auckland International Airport Limited's (NZSE:AIA) Mixed Financials The Reason For Its Gloomy Performance on The Stock Market?"""
AIA,18/09/2022,"""Are Investors Undervaluing Auckland International Airport Limited (NZSE:AIA) By 24%?"""
AIA,03/09/2022,"""Auckland International Airport (NZSE:AIA) Could Be Struggling To Allocate Capital"""
ALD,22/08/2023,"""Some Investors May Be Worried About Ampol's (ASX:ALD) Returns On Capital"""
ALD,20/02/2023,"""Ampol Full Year 2022 Earnings: Revenues Beat Expectations, EPS Lags"""
ALD,05/01/2023,"""Ampol (ASX:ALD) Might Become A Compounding Machine"""
ALL,31/08/2023,"""Aristocrat Gaming Begins First Distribution of NFL-Themed Slot Machines to Casino Floors"""
ALL,28/08/2023,"""Aristocrat Gaming™ Partners with Skill Master Pro for Exclusive Distribution in the Georgia COAM Market"""
ALL,22/08/2023,"""Sun Wukong ""Monkey King"" Becomes a Legendary Champion in RAID: Shadow Legends"""
ALL,16/08/2023,"""Investing in Aristocrat Leisure (ASX:ALL) three years ago would have delivered you a 50% gain"""
ALL,16/08/2023,"""Aristocrat Gaming Supports AISES Mission to Increase Indigenous Peoples' Representation in STEM"""
ALL,14/08/2023,"""Aristocrat Gaming to Debut New Games for Class II and Class III at OIGA 2023"""
ALL,13/08/2023,"""Aristocrat Gaming Unveils New Range of Gaming Legends at AGE23"""
ALL,09/08/2023,"""NeoGames Announces Second Quarter 2023 Results"""
ALL,02/08/2023,"""Is It Too Late To Consider Buying Aristocrat Leisure Limited (ASX:ALL)?"""
ALL,27/07/2023,"""Aristocrat Gaming Unveils First Look at NFL-Themed Slot Machines"""
ALL,19/07/2023,"""Slowing Rates Of Return At Aristocrat Leisure (ASX:ALL) Leave Little Room For Excitement"""
ALL,18/07/2023,"""NeoGames Shareholders Approve Business Combination Agreement with Aristocrat Leisure"""
ALL,05/07/2023,"""Are Strong Financial Prospects The Force That Is Driving The Momentum In Aristocrat Leisure Limited's ASX:ALL) Stock?"""
ALL,06/06/2023,"""Estimating The Intrinsic Value Of Aristocrat Leisure Limited (ASX:ALL)"""
ALL,23/05/2023,"""Aristocrat Leisure (ASX:ALL) Is Paying Out A Larger Dividend Than Last Year"""
ALL,21/05/2023,"""Here's What We Like About Aristocrat Leisure's (ASX:ALL) Upcoming Dividend"""
ALL,14/05/2023,"""Australia's Aristocrat Leisure to buy Israel's NeoGames for $1 billion; shares soar"""
ALL,14/05/2023,"""UPDATE 2-Australia's Aristocrat Leisure to buy Israel's NeoGames for $1 bln"""
ALL,14/05/2023,"""NeoGames Enters into Definitive Agreement to be Acquired by Aristocrat for $29.50 per Share in Cash"""
ALL,11/05/2023,"""RAID: CALL OF THE ARBITER NEW TRAILER REVEALS A DEEPER LOOK INTO THE WIDELY ANTICIPATED LIMITED ANIMATED SERIES"""
ALQ,14/08/2023,"""Declining Stock and Solid Fundamentals: Is The Market Wrong About ALS Limited (ASX:ALQ)?"""
ALQ,31/07/2023,"""Is There Now An Opportunity In ALS Limited (ASX:ALQ)?"""
ALQ,17/07/2023,"""Calculating The Intrinsic Value Of ALS Limited (ASX:ALQ)"""
ALQ,03/07/2023,"""Insider Stock Buying Reaches AU$891k On ALS"""
ALQ,19/06/2023,"""While institutions own 34% of ALS Limited (ASX:ALQ), retail investors are its largest shareholders with 43% ownership"""
ALQ,04/06/2023,"""ALS Limited (ASX:ALQ) Stock Goes Ex-Dividend In Just Four Days"""
ALQ,31/05/2023,"""ALS' (ASX:ALQ) Shareholders Will Receive A Bigger Dividend Than Last Year"""
ALQ,18/05/2023,"""Investing in ALS (ASX:ALQ) three years ago would have delivered you a 89% gain"""
ALQ,20/02/2023,"""Could The Market Be Wrong About ALS Limited (ASX:ALQ) Given Its Attractive Financial Prospects?"""
ALQ,06/02/2023,"""A Look At The Fair Value Of ALS Limited (ASX:ALQ)"""
ALQ,22/01/2023,"""What Does ALS Limited's (ASX:ALQ) Share Price Indicate?"""
ALQ,07/01/2023,"""Great news for ALS Limited (ASX:ALQ): Insiders acquired stock in large numbers last year"""
ALQ,24/12/2022,"""While institutions own 31% of ALS Limited (ASX:ALQ), individual investors are its largest shareholders with 45% ownership"""
ALQ,09/12/2022,"""Investing in ALS (ASX:ALQ) five years ago would have delivered you a 99% gain"""
ALQ,19/11/2022,"""ALS Limited (ASX:ALQ) Is About To Go Ex-Dividend, And It Pays A 3.1% Yield"""
ALU,26/08/2023,"""Altium Full Year 2023 Earnings: Beats Expectations"""
ALU,23/08/2023,"""Altium Capital Management LP Acquires New Stake in Alimera Sciences Inc"""
ALU,22/08/2023,"""Industry Analysts Just Made A Meaningful Upgrade To Their Altium Limited (ASX:ALU) Revenue Forecasts"""
ALU,16/08/2023,"""Altium Limited (ASX:ALU) most popular amongst retail investors who own 45% of the shares, institutions hold 44%"""
ALU,02/08/2023,"""Investors in Altium (ASX:ALU) have seen decent returns of 98% over the past five years"""
ALU,01/08/2023,"""Altium 365 Integrates with SiliconExpert, Delivering Unmatched Component Data Access to Designers Worldwide"""
ALU,19/07/2023,"""Estimating The Intrinsic Value Of Altium Limited (ASX:ALU)"""
ALU,12/07/2023,"""ANSYS (ANSS) & Altium to Improve Electronic Design Workflow"""
ALU,11/07/2023,"""Ansys and Altium Boost Electronics Design with Digital Continuity"""
ALU,05/07/2023,"""Altium Limited's (ASX:ALU) Stock Has Shown Weakness Lately But Financial Prospects Look Decent: Is The Market Wrong?"""
ALU,06/06/2023,"""Altium (ASX:ALU) Is Reinvesting To Multiply In Value"""
ALU,25/05/2023,"""Altium Achieves SOC 2 Type 2, Reinforcing Commitment to Data Security and Compliance"""
ALU,16/05/2023,"""Altium Announces Launch of Altium 365 GovCloud"""
ALU,23/02/2023,"""Altium Korea Office Officially Opens"""
ALU,14/11/2022,"""Keysight Licenses Simulation Software Technology to Altium for PCB Design Solutions"""
ALX,17/06/2023,"""With 80% ownership of the shares, Atlas Arteria Limited (ASX:ALX) is heavily dominated by institutional owners"""
ALX,24/02/2023,"""Atlas Arteria Full Year 2022 Earnings: Misses Expectations"""
ALX,07/01/2023,"""With 81% ownership of the shares, Atlas Arteria Limited (ASX:ALX) is heavily dominated by institutional owners"""
ALX,02/10/2022,"""Multiple insiders bought Atlas Arteria Limited (ASX:ALX) stock earlier this year, a positive sign for shareholders"""
ALX,12/09/2022,"""Australian Toll Road Operator Seeks $2 Bln Stake in Chicago Motorway"""
AMC,01/09/2023,"""10 Best September Dividend Stocks To Buy"""
AMC,30/08/2023,"""Amcor (AMCR) Launches North America High-Barrier Paper Packaging"""
AMC,29/08/2023,"""Amcor launches high-barrier performance paper packaging in North America"""
AMC,20/08/2023,"""Amcor (NYSE:AMCR) Has Affirmed Its Dividend Of $0.1225"""
AMC,18/08/2023,"""Company News for Aug 18, 2023"""
AMC,17/08/2023,"""Amcor (AMCR) Q4 Earnings Beat, Decline Y/Y on Low Volumes"""
AMC,17/08/2023,"""Full Year 2023 Amcor PLC Earnings Call"""
AMC,16/08/2023,"""Amcor (AMCR) Surpasses Q4 Earnings Estimates"""
AMC,16/08/2023,"""Amcor reports fiscal 2023 results and provides outlook for fiscal 2024"""
AMC,16/08/2023,"""Are Investors Undervaluing Amcor plc (NYSE:AMCR) By 26%?"""
AMC,15/08/2023,"""Amcor (AMCR) Inks Deal to Buy India-Based Phoenix Flexibles"""
AMC,11/08/2023,"""Amcor announces acquisition of scalable flexible packaging plant in high-growth Indian market"""
AMC,09/08/2023,"""Analysts Estimate Amcor (AMCR) to Report a Decline in Earnings: What to Look Out for"""
AMC,09/08/2023,"""Amcor (AMCR) to Report Q4 Earnings: What's in Store?"""
AMC,09/08/2023,"""Berry Global (BERY) Misses Q3 Earnings and Revenue Estimates"""
AMC,02/08/2023,"""Amcor to report Full Year 2023 results"""
AMC,02/08/2023,"""2 Attractively Valued Dividend Aristocrats"""
AMC,22/07/2023,"""3 High-Dividend Stocks to Buy for Steady Income"""
AMC,13/07/2023,"""Amcor Lift-Off winner, Greyparrot, to advance AI-powered waste analytics for circular economy"""
AMC,05/07/2023,"""11 Best Packaging Stocks to Buy Now"""
AMP,05/07/2023,"""Federal court rules against Australia's AMP in class action proceedings, shares tank"""
AMP,19/05/2023,"""Australia's AMP fined $16 million for charging fees to deceased clients"""
AMP,18/04/2023,"""Australia's AMP says Q1 fund outflows lower, credit quality strong"""
AMP,20/10/2022,"""AMP Australian wealth management unit's net outflows more than halve"""
AMP,20/09/2022,"""AMP handed $9.7 million penalty for charging pensioners 'fees for no service'"""
ANN,10/08/2023,"""Ansell Limited's (ASX:ANN) Fundamentals Look Pretty Strong: Could The Market Be Wrong About The Stock?"""
ANN,10/07/2023,"""Ansell (ASX:ANN) Is Looking To Continue Growing Its Returns On Capital"""
ANN,13/06/2023,"""With 52% ownership, Ansell Limited (ASX:ANN) boasts of strong institutional backing"""
ANN,29/04/2023,"""A Look At The Fair Value Of Ansell Limited (ASX:ANN)"""
ANN,12/04/2023,"""Ansell's (ASX:ANN) investors will be pleased with their 13% return over the last year"""
ANN,16/02/2023,"""Ansell Limited (ASX:ANN) Passed Our Checks, And It's About To Pay A US$0.20 Dividend"""
ANN,15/02/2023,"""Ansell First Half 2023 Earnings: Misses Expectations"""
ANN,14/02/2023,"""Quite a few insiders invested in Ansell Limited (ASX:ANN) last year which is positive news for shareholders"""
ANN,31/01/2023,"""Ansell's (ASX:ANN) Returns On Capital Are Heading Higher"""
ANN,03/01/2023,"""With 54% institutional ownership, Ansell Limited (ASX:ANN) is a favorite amongst the big guns"""
ANN,08/11/2022,"""Ansell Limited's (ASX:ANN) Intrinsic Value Is Potentially 32% Above Its Share Price"""
ANN,25/10/2022,"""The past year for Ansell (ASX:ANN) investors has not been profitable"""
ANN,20/09/2022,"""Ansell Limited's (ASX:ANN) Stock Is Going Strong: Is the Market Following Fundamentals?"""
ANN,14/09/2022,"""ANSELL ANNOUNCES CONNECTED WORKFORCE SAFETY BRAND, INTELIFORZ™,  WITH NEW COLLABORATORS"""
ANN,06/09/2022,"""Insider Buying: The Ansell Limited (ASX:ANN) Non-Executive Director Just Bought US$130k Worth Of Shares"""
ANZ,28/08/2023,"""Those who invested in ANZ Group Holdings (ASX:ANZ) three years ago are up 56%"""
ANZ,29/06/2023,"""New Zealand business confidence improves in June- ANZ survey"""
ANZ,05/05/2023,"""Australia's top banks look to diversify from mortgages as rates peak"""
ANZ,01/05/2023,"""Here's Why ANZ Group Holdings (ASX:ANZ) Has Caught The Eye Of Investors"""
ANZ,06/04/2023,"""ANZ Bank Completes Carbon Credits Trading as Part of Australia's CBDC Pilot"""
ANZ,20/03/2023,"""ANZ Group Holdings' (ASX:ANZ) earnings growth rate lags the 23% CAGR delivered to shareholders"""
ANZ,08/12/2022,"""Here's Why Shareholders May Want To Be Cautious With Increasing Australia and New Zealand Banking Group Limited's (ASX:ANZ) CEO Pay Packet"""
ANZ,08/11/2022,"""Australia and New Zealand Banking Group Full Year 2022 Earnings: EPS Beats Expectations"""
ANZ,30/10/2022,"""Australia and New Zealand Banking Group's (ASX:ANZ) Shareholders Will Receive A Bigger Dividend Than Last Year"""
ANZ,01/09/2022,"""Cross-Sector: Market Data Highlights"""
APA,06/08/2023,"""Can APA Group (ASX:APA) Maintain Its Strong Returns?"""
APA,26/06/2023,"""APA Group (ASX:APA) Is Increasing Its Dividend To A$0.29"""
APA,26/04/2023,"""Investing in APA Group (ASX:APA) five years ago would have delivered you a 57% gain"""
APA,04/04/2023,"""An Intrinsic Calculation For APA Group (ASX:APA) Suggests It's 40% Undervalued"""
APA,24/12/2022,"""It Might Not Be A Great Idea To Buy APA Group (ASX:APA) For Its Next Dividend"""
APA,17/11/2022,"""Those who invested in APA Group (ASX:APA) five years ago are up 56%"""
APE,04/05/2023,"""Is There Now An Opportunity In Eagers Automotive Limited (ASX:APE)?"""
APE,20/03/2023,"""Eagers Automotive (ASX:APE) pulls back 6.8% this week, but still delivers shareholders incredible 60% CAGR over 3 years"""
APE,24/11/2022,"""At AU$12.20, Is It Time To Put Eagers Automotive Limited (ASX:APE) On Your Watch List?"""
APE,24/10/2022,"""Eagers Automotive Limited (ASX:APE) stock most popular amongst individual investors who own 42%, while private companies hold 31%"""
APT,No data for this company,"""No data for this company"""
APX,30/08/2023,"""Appen First Half 2023 Earnings: EPS Misses Expectations"""
APX,28/08/2023,"""Australia's Appen slumps to over 7-year low on weak half-yearly results"""
APX,26/08/2023,"""Should You Investigate Appen Limited (ASX:APX) At AU$2.24?"""
APX,23/08/2023,"""Appen Launches AI Chat Feedback and Benchmarking Solutions for Enhanced LLM Evaluation"""
APX,20/07/2023,"""A Look At The Intrinsic Value Of Appen Limited (ASX:APX)"""
APX,12/07/2023,"""Google’s AI Chatbot Is Trained by Humans Who Say They’re Overworked, Underpaid and Frustrated"""
APX,12/06/2023,"""Appen Appoints Fab Dolan as Chief Marketing Officer"""
APX,22/05/2023,"""Appen appoints former Pivotal Software and Astronomer SaaS executive Andrew Ettinger to lead worldwide sales"""
APX,15/05/2023,"""Downgrade: Here's How Analysts See Appen Limited (ASX:APX) Performing In The Near Term"""
APX,10/05/2023,"""Appen launches cost-cutting plan as earnings drop, expands into generative AI"""
APX,03/05/2023,"""Appen Partners With Reka AI to Build Customized Multi-Modal LLM Applications for the Enterprise"""
APX,02/05/2023,"""Appen Teams with NVIDIA to Enable Customized AI Solutions for Enterprises"""
APX,01/05/2023,"""Appen Appoints Helen Johnson as Chief Financial Officer"""
APX,26/04/2023,"""The past three years for Appen (ASX:APX) investors has not been profitable"""
APX,09/04/2023,"""While institutions own 33% of Appen Limited (ASX:APX), individual investors are its largest shareholders with 57% ownership"""
APX,23/03/2023,"""Independent Non-Executive Director Stuart Davis Just Bought A Handful Of Shares In Appen Limited (ASX:APX)"""
APX,20/03/2023,"""Appen Reinforces AI Platform Commitment with the Appointment of Renowned AI Engineering Leader Saty Bahadur as Chief Technology Officer"""
APX,19/03/2023,"""Is Appen Limited (ASX:APX) Potentially Undervalued?"""
APX,02/03/2023,"""Appen Launches Three New Products to Build Trustworthy Generative AI Applications"""
APX,27/02/2023,"""One Appen Limited (ASX:APX) insider upped their stake by 50% in the previous year"""
ARB,24/08/2023,"""ARB (ASX:ARB) Will Pay A Smaller Dividend Than Last Year"""
ARB,01/04/2023,"""A Look Into ARB's (ASX:ARB) Impressive Returns On Capital"""
ARG,20/08/2023,"""Why It Might Not Make Sense To Buy Argo Investments Limited (ASX:ARG) For Its Upcoming Dividend"""
ARG,16/08/2023,"""Argo Investments' (ASX:ARG) Upcoming Dividend Will Be Larger Than Last Year's"""
ARG,17/07/2023,"""Here's Why We Think Argo Investments (ASX:ARG) Might Deserve Your Attention Today"""
ARG,15/05/2023,"""Argo Investments' (ASX:ARG) investors will be pleased with their respectable 36% return over the last three years"""
ARG,08/02/2023,"""Argo Investments' (ASX:ARG) Dividend Will Be Increased To A$0.165"""
ARG,07/02/2023,"""Is Now The Time To Put Argo Investments (ASX:ARG) On Your Watchlist?"""
ARG,06/12/2022,"""Investing in Argo Investments (ASX:ARG) five years ago would have delivered you a 36% gain"""
ARG,17/10/2022,"""Here's Why Argo Investments Limited's (ASX:ARG) CEO Compensation Is The Least Of Shareholders' Concerns"""
AST,No data for this company,"""No data for this company"""
ASX,19/08/2023,"""ASX (ASX:ASX) Has Announced That Its Dividend Will Be Reduced To A$1.12"""
ASX,06/06/2023,"""Bourse operator ASX on track for worst day in 11 years on higher cost outlook"""
ASX,19/05/2023,"""Australian stock exchange says software overhaul won't involve blockchain"""
ASX,16/05/2023,"""Institutions own 49% of ASX Limited (ASX:ASX) shares but retail investors control 50% of the company"""
ASX,29/03/2023,"""Australia Stock Market Operator Draws Regulatory Attention, Could Accrue Material Penalty"""
ASX,28/03/2023,"""Australia probes ASX on possible breaches of disclosure rules"""
ASX,26/03/2023,"""Multiple insiders bought ASX Limited (ASX:ASX) stock earlier this year, a positive sign for shareholders"""
ASX,24/03/2023,"""Australia market major backs plan to break ASX monopoly on post-trade functions"""
ASX,21/03/2023,"""10 Best ASX Stocks to Buy Now"""
ASX,04/03/2023,"""It Might Not Be A Great Idea To Buy ASX Limited (ASX:ASX) For Its Next Dividend"""
ASX,18/02/2023,"""ASX's (ASX:ASX) Dividend Will Be Reduced To A$1.16"""
ASX,16/01/2023,"""Bain Capital explores Virgin Australia IPO as aviation market improves"""
ASX,20/12/2022,"""Australian stock exchange's blockchain failure burns market trust"""
ASX,20/12/2022,"""INSIGHT-Australian stock exchange's blockchain failure burns market trust"""
ASX,07/12/2022,"""Individual investors account for 53% of ASX Limited's (ASX:ASX) ownership, while institutions account for 46%"""
ASX,02/12/2022,"""Australian Securities Exchange to cut up to 200 jobs from blockchain project"""
ASX,30/11/2022,"""IBM and Australian Stock Market’s Blockchain Projects Failed, a Blow to Private Ledgers"""
ASX,17/11/2022,"""Australian Securities Exchange Cancels Blockchain-Based Clearing System at $168M Cost"""
ASX,16/11/2022,"""Bourse operator ASX flags $172 million hit from clearing software replacement halt"""
ASX,08/10/2022,"""ASX (ASX:ASX) shareholders have earned a 9.3% CAGR over the last five years"""
AWC,23/08/2023,"""Alumina First Half 2023 Earnings: US$0.015 loss per share (vs US$0.058 profit in 1H 2022)"""
AWC,15/05/2023,"""Alcoa signs 8-year alumina supply deal with Emirates Global Aluminium"""
AWC,15/03/2023,"""UPDATE 1-Alcoa Australia to cut Portland aluminium smelter output to 75% capacity"""
AWC,06/02/2023,"""Great week for Alumina Limited (ASX:AWC) institutional investors after losing 6.2% over the previous year"""
AWC,09/01/2023,"""UPDATE 2-Alcoa's Australia unit flags 30% production cut at alumina refinery"""
AWC,09/01/2023,"""Alcoa's Australia unit flags production cuts at alumina refinery"""
AWC,08/12/2022,"""As Alumina Limited (ASX:AWC) hits AU$4.7b market cap, insiders may be dismayed about not purchasing higher quantities"""
AZJ,24/08/2023,"""Don't Buy Aurizon Holdings Limited (ASX:AZJ) For Its Next Dividend Without Doing These Checks"""
AZJ,15/08/2023,"""Aurizon Holdings Full Year 2023 Earnings: Revenues Beat Expectations, EPS Lags"""
AZJ,25/07/2023,"""A Note On Aurizon Holdings Limited's (ASX:AZJ) ROE and Debt To Equity"""
AZJ,26/04/2023,"""The past three years for Aurizon Holdings (ASX:AZJ) investors has not been profitable"""
AZJ,30/03/2023,"""Aurizon Holdings Limited's (ASX:AZJ) top owners are retail investors with 52% stake, while 47% is held by institutions"""
AZJ,16/03/2023,"""Insider Buying: The Aurizon Holdings Limited (ASX:AZJ) Independent Chairman Just Bought 39% More Shares"""
AZJ,15/02/2023,"""How Did Aurizon Holdings Limited's (ASX:AZJ) 9.0% ROE Fare Against The Industry?"""
AZJ,13/02/2023,"""Australia's Aurizon cuts earnings forecast on prolonged wet weather"""
AZJ,09/01/2023,"""An Intrinsic Calculation For Aurizon Holdings Limited (ASX:AZJ) Suggests It's 26% Undervalued"""
AZJ,15/12/2022,"""Aurizon to sell ECR unit for $285 million to ease competition concerns"""
AZJ,17/11/2022,"""Shareholders in Aurizon Holdings (ASX:AZJ) are in the red if they invested three years ago"""
AZJ,02/11/2022,"""Aurizon Holdings Limited (ASX:AZJ) insiders placed bullish bets worth AU$4.5m in the last 12 months"""
AZJ,19/10/2022,"""While institutions own 43% of Aurizon Holdings Limited (ASX:AZJ), individual investors are its largest shareholders with 56% ownership"""
AZJ,18/10/2022,"""UPDATE 1-Australia's New Hope not in consortium bidding for Aurizon unit"""
AZJ,08/09/2022,"""Declining Stock and Solid Fundamentals: Is The Market Wrong About Aurizon Holdings Limited (ASX:AZJ)?"""
BAP,19/08/2023,"""Bapcor (ASX:BAP) Has Announced A Dividend Of A$0.115"""
BAP,13/08/2023,"""Bapcor Limited's (ASX:BAP) Stock Has Shown Weakness Lately But Financial Prospects Look Decent: Is The Market Wrong?"""
BAP,19/07/2023,"""Is Bapcor Limited (ASX:BAP) Trading At A 37% Discount?"""
BAP,22/05/2023,"""Here's Why We Think Bapcor (ASX:BAP) Is Well Worth Watching"""
BAP,07/05/2023,"""Investors in Bapcor (ASX:BAP) have seen notable returns of 40% over the past three years"""
BAP,17/04/2023,"""An excellent week for Bapcor Limited's (ASX:BAP) institutional owners who own 56% as one-year returns inch higher"""
BAP,02/04/2023,"""Here's What To Make Of Bapcor's (ASX:BAP) Decelerating Rates Of Return"""
BAP,08/03/2023,"""Non-Executive Director Kathryn Spargo Just Bought A Handful Of Shares In Bapcor Limited (ASX:BAP)"""
BAP,20/02/2023,"""Bapcor (ASX:BAP) Is Increasing Its Dividend To A$0.105"""
BAP,17/02/2023,"""Bapcor First Half 2023 Earnings: EPS: AU$0.16 (vs AU$0.17 in 1H 2022)"""
BAP,09/02/2023,"""A Look At The Fair Value Of Bapcor Limited (ASX:BAP)"""
BAP,27/12/2022,"""Quite a few insiders invested in Bapcor Limited (ASX:BAP) last year which is positive news for shareholders"""
BAP,13/12/2022,"""Is Now The Time To Put Bapcor (ASX:BAP) On Your Watchlist?"""
BAP,28/11/2022,"""Bapcor (ASX:BAP) shareholders have earned a 7.4% CAGR over the last five years"""
BAP,08/11/2022,"""Bapcor Limited (ASX:BAP) is a favorite amongst institutional investors who own 53%"""
BAP,24/10/2022,"""Bapcor (ASX:BAP) Might Have The Makings Of A Multi-Bagger"""
BAP,02/09/2022,"""Is There An Opportunity With Bapcor Limited's (ASX:BAP) 38% Undervaluation?"""
BEN,31/08/2023,"""Bendigo and Adelaide Bank (ASX:BEN) Has Announced That It Will Be Increasing Its Dividend To A$0.32"""
BEN,30/08/2023,"""Don't Race Out To Buy Bendigo and Adelaide Bank Limited (ASX:BEN) Just Because It's Going Ex-Dividend"""
BEN,24/08/2023,"""Bank CEO ordered employees to return to the office for their own mental health—and it’s sparked backlash"""
BEN,16/08/2023,"""Bendigo and Adelaide Bank (ASX:BEN) Will Pay A Larger Dividend Than Last Year At A$0.32"""
BEN,04/07/2023,"""Bendigo and Adelaide Bank's (ASX:BEN) 14% CAGR outpaced the company's earnings growth over the same three-year period"""
BEN,22/02/2023,"""Bendigo and Adelaide Bank (ASX:BEN) Is Increasing Its Dividend To A$0.29"""
BEN,20/02/2023,"""Bendigo and Adelaide Bank First Half 2023 Earnings: EPS: AU$0.44 (vs AU$0.58 in 1H 2022)"""
BEN,21/01/2023,"""Bendigo and Adelaide Bank (ASX:BEN) shareholders have earned a 22% return over the last year"""
BEN,01/11/2022,"""This Is Why Bendigo and Adelaide Bank Limited's (ASX:BEN) CEO Compensation Looks Appropriate"""
BGA,26/08/2023,"""Bega Cheese (ASX:BGA) Has Announced That Its Dividend Will Be Reduced To A$0.03"""
BGA,18/06/2023,"""Bega Cheese Insiders Added AU$15m Of Stock To Their Holdings \"""
BGA,28/05/2023,"""Bega Cheese Limited (ASX:BGA) is definitely on the radar of institutional investors who own 46% of the company"""
BGA,26/04/2023,"""Calculating The Intrinsic Value Of Bega Cheese Limited (ASX:BGA)"""
BGA,19/03/2023,"""Bega Cheese (ASX:BGA) investors are sitting on a loss of 46% if they invested five years ago"""
BGA,25/02/2023,"""Bega Cheese Limited Just Beat Analyst Forecasts, And Analysts Have Been Updating Their Predictions"""
